iter	Logloss
0	0.677570827
1	0.6643125276
2	0.6520392616
3	0.637749666
4	0.6249081525
5	0.6132416067
6	0.6023498786
7	0.5907059011
8	0.5807186763
9	0.5700513716
10	0.5600784199
11	0.5507757139
12	0.5408987896
13	0.5310186617
14	0.5221340035
15	0.5150353498
16	0.5071324673
17	0.4982733697
18	0.4902998862
19	0.4810910149
20	0.4736130055
21	0.4667041595
22	0.4596147842
23	0.4527128964
24	0.446002148
25	0.4390277361
26	0.433420826
27	0.4273305837
28	0.4205632334
29	0.4149454265
30	0.4110276891
31	0.4060459797
32	0.4006415548
33	0.395459508
34	0.3895059607
35	0.3847977125
36	0.379897273
37	0.3753605552
38	0.370509632
39	0.3662866535
40	0.3620369413
41	0.3578309996
42	0.354693468
43	0.3500814352
44	0.3457473815
45	0.3420938076
46	0.3381302081
47	0.3342662276
48	0.3302582431
49	0.3260202447
50	0.3222192363
51	0.3198003762
52	0.3165336415
53	0.3133657985
54	0.3107358811
55	0.3080106924
56	0.3055012362
57	0.3027617724
58	0.3005349408
59	0.2973987896
60	0.2949264464
61	0.2922205448
62	0.289356041
63	0.2865656505
64	0.2839874621
65	0.2819896011
66	0.2794256824
67	0.2768968251
68	0.2747849157
69	0.2721685857
70	0.2697802442
71	0.2677141806
72	0.2655762952
73	0.2632428898
74	0.2611620625
75	0.2592138888
76	0.2577220526
77	0.2559729365
78	0.2541240653
79	0.252119673
80	0.2505920981
81	0.2488608207
82	0.2471054114
83	0.2455392975
84	0.2440105307
85	0.242613687
86	0.2409898168
87	0.2396648149
88	0.2379233429
89	0.236311721
90	0.2345340817
91	0.2330089389
92	0.2322230256
93	0.2307670121
94	0.229358866
95	0.2279658584
96	0.2268496734
97	0.225279332
98	0.2240043528
99	0.2231524488
100	0.2217264554
101	0.220706845
102	0.219534855
103	0.2181834575
104	0.2172042048
105	0.2160985964
106	0.2146496339
107	0.2133280668
108	0.2121098449
109	0.2112079728
110	0.2099494168
111	0.2087289152
112	0.2076950903
113	0.2068545516
114	0.2057849618
115	0.2047463718
116	0.2039359828
117	0.2029076385
118	0.2019509716
119	0.2010206174
120	0.2004095612
121	0.1997777413
122	0.1988158445
123	0.1977071949
124	0.196787481
125	0.1961349276
126	0.1951763514
127	0.1943295019
128	0.1930006508
129	0.1922263474
130	0.191359978
131	0.190735623
132	0.1898698679
133	0.1892620062
134	0.1884586964
135	0.1877684429
136	0.1870896921
137	0.1863678726
138	0.185888943
139	0.1850298197
140	0.1844379999
141	0.1838414356
142	0.1832108358
143	0.1826887973
144	0.1819516992
145	0.1814101525
146	0.1807817771
147	0.1801489102
148	0.179384336
149	0.178892394
150	0.1783499076
151	0.1778798535
152	0.177431722
153	0.1769672084
154	0.1763358747
155	0.1757760007
156	0.1751323903
157	0.1745929133
158	0.1740475364
159	0.1735238027
160	0.1730391397
161	0.1723683159
162	0.1716632604
163	0.171088141
164	0.1704204893
165	0.1699342365
166	0.1692959193
167	0.1687645246
168	0.1683532862
169	0.1679946846
170	0.1675926973
171	0.1670928905
172	0.1665553002
173	0.1660600087
174	0.1656526281
175	0.1653098228
176	0.1645726816
177	0.164262873
178	0.1640141473
179	0.1636471307
180	0.163234984
181	0.1628685285
182	0.1623503128
183	0.1616847719
184	0.1613148917
185	0.1607369049
186	0.1604295797
187	0.1598521918
188	0.1592243453
189	0.1588958934
190	0.1583876378
191	0.1580233485
192	0.1577822412
193	0.1573471028
194	0.1569363244
195	0.156338297
196	0.1559210079
197	0.1555197278
198	0.1549815746
199	0.1546132396
200	0.1543746324
201	0.1540083048
202	0.1535895624
203	0.1532796996
204	0.1529287033
205	0.1526414228
206	0.1521837255
207	0.1518895331
208	0.1515695551
209	0.1514311812
210	0.1511812765
211	0.1507919773
212	0.150505066
213	0.150127772
214	0.1497028797
215	0.1493912016
216	0.1489756211
217	0.1484516147
218	0.1480368035
219	0.1477032575
220	0.1473320054
221	0.1469213122
222	0.1465891485
223	0.1463528496
224	0.1460653256
225	0.1457939378
226	0.1454284186
227	0.1451733267
228	0.1449015774
229	0.144623299
230	0.1442254724
231	0.1437233962
232	0.1434253048
233	0.1430821971
234	0.142698142
235	0.1424770945
